qsize 7, out_qsize 0
2016-06-15 15:40:29,375: INFO: PROGRESS: at 92.56% examples, 258496 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:30,384: INFO: PROGRESS: at 92.61% examples, 258501 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:40:31,405: INFO: PROGRESS: at 92.66% examples, 258500 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:32,455: INFO: PROGRESS: at 92.70% examples, 258500 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:33,470: INFO: PROGRESS: at 92.75% examples, 258501 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:34,491: INFO: PROGRESS: at 92.80% examples, 258500 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:35,499: INFO: PROGRESS: at 92.85% examples, 258502 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:40:36,518: INFO: PROGRESS: at 92.90% examples, 258506 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:40:37,519: INFO: PROGRESS: at 92.95% examples, 258508 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:38,538: INFO: PROGRESS: at 93.00% examples, 258509 words/s, in_qsize 7, out_qsize 1
2016-06-15 15:40:39,549: INFO: PROGRESS: at 93.05% examples, 258512 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:40,579: INFO: PROGRESS: at 93.10% examples, 258511 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:41,613: INFO: PROGRESS: at 93.16% examples, 258511 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:42,640: INFO: PROGRESS: at 93.22% examples, 258513 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:40:43,662: INFO: PROGRESS: at 93.26% examples, 258514 words/s, in_qsize 7, out_qsize 0
2016-06-15 15:40:44,692: INFO: PROGRESS: at 93.31% examples, 258514 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:45,699: INFO: PROGRESS: at 93.37% examples, 258514 words/s, in_qsize 7, out_qsize 1
2016-06-15 15:40:46,769: INFO: PROGRESS: at 93.43% examples, 258517 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:47,809: INFO: PROGRESS: at 93.50% examples, 258517 words/s, in_qsize 8, out_qsize 0
2016-06-15 15:40:48,819: INFO: PROGRESS: at 93.56% examples, 258522 words/s, in_qsize 8, out_qsize 0
